127.0.0.1 - - [11/Mar/2023:09:57:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:27 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:27 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:27 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:28 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:28 +0530] "GET /dairymanagement/images/products.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:28 +0530] "GET /dairymanagement/images/aim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:28 +0530] "GET /dairymanagement/images/working.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:57:28 +0530] "GET /dairymanagement/images/mainimg.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:58:54 +0530] "GET /dairymanagement/service.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:46 +0530] "GET /dairymanagement/login.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:46 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:46 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:46 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:46 +0530] "GET /dairymanagement/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:47 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:47 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:02:47 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:22 +0530] "GET /dairymanagement/login.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:22 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:56 +0530] "GET /dairymanagement/login.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:56 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:56 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:56 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:57 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Mar/2023:10:03:58 +0530] "GET /dairymanagement/login.jsp HTTP/1.1" 200 1714
