127.0.0.1 - - [12/Mar/2023:11:00:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:00:45 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:00:45 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:00:45 +0530] "GET /dairymanagement/js/script.js HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:32:58 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:32:58 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:32:58 +0530] "GET /dairymanagement/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:33:48 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:34:03 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:39:40 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:39:40 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:39:40 +0530] "GET /dairymanagement/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:39:49 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:40:31 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:41:41 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:41:50 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:42:12 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:42:13 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:42:34 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:44:26 +0530] "GET /dairymanagement/index.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:44:26 +0530] "GET /dairymanagement/script.js HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:44:26 +0530] "GET /dairymanagement/style.css HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/index.html HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [12/Mar/2023:11:48:21 +0530] "GET /dairymanagement/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
