127.0.0.1 - - [18/Mar/2023:23:15:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:15:45 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:15:46 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:15:46 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:15:46 +0530] "GET /dairymanagement/images/dairy-background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:21:35 +0530] "POST /dairymanagement/login.jsp HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:21:37 +0530] "GET /dairymanagement/staff-dashboard.jsp HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:21:37 +0530] "GET /dairymanagement/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:21:48 +0530] "GET /dairymanagement/staff.jsp HTTP/1.1" 200 11704
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:21:58 +0530] "GET /dairymanagement/customer.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:02 +0530] "GET /dairymanagement/customer.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:48 +0530] "GET /dairymanagement/customer.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:52 +0530] "GET /dairymanagement/farmer.jsp HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:53 +0530] "GET /dairymanagement/staff.jsp HTTP/1.1" 200 11704
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:55 +0530] "GET /dairymanagement/farmer.jsp HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:22:56 +0530] "GET /dairymanagement/customer.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:44:41 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:53:07 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:54:01 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:54:20 +0530] "POST /dairymanagement/add-collection.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:54:20 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:54:51 +0530] "POST /dairymanagement/add-collection.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:54:51 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 5443
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:56:41 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 5443
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:56:58 +0530] "POST /dairymanagement/add-collection.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:56:58 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:57:15 +0530] "GET /dairymanagement/delete-collection.jsp?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2023:23:57:15 +0530] "GET /dairymanagement/collection.jsp HTTP/1.1" 200 5443
